,x,loss
21,"[0.58803557 1.         0.65981826 0.35388117 0.35095888 0.
 0.         0.77065196 1.         1.         0.88502367 0.
 1.         0.         0.47761807 1.         0.05844899 0.
 1.         1.         0.         0.42235954 0.         0.32100354
 0.98106786 0.05781843 0.         0.41486816]",4882.518210513022
22,"[1.         0.24741704 1.         0.         0.42795152 0.
 0.92320152 0.63294499 0.24618977 0.3348076  0.45677764 0.39110582
 0.15635288 1.         0.51494117 1.         1.         0.
 1.         0.98499988 0.56709494 0.17462079 1.         0.88883981
 0.         0.         0.18779626 0.95049216]",5050.865036749889
23,"[0.74740336 0.76964228 0.         1.         0.         0.
 0.28876838 0.13963486 0.32190819 0.41932422 0.81625422 0.
 1.         1.         1.         1.         0.70324439 0.
 0.         0.64081722 1.         0.94286172 0.         0.
 1.         0.72091615 0.         0.        ]",5084.567267024214
24,"[0.72957784 1.         0.         0.         0.         0.
 0.99842452 0.95963651 0.         0.         0.64501262 0.7648962
 0.19098913 0.74920843 0.75996843 0.68513649 0.20051387 1.
 0.         0.36772746 0.         0.         1.         1.
 0.         1.         0.         0.90441967]",5084.572426220835
25,"[0.68859195 0.04135589 1.         0.17045149 0.39979174 0.49774008
 0.9823648  0.42749468 0.72518341 0.35044762 0.         0.22799258
 0.11315123 0.         0.25877412 1.         0.42299829 0.
 0.         1.         0.23767082 0.         0.47942236 0.58478227
 0.52372038 0.         0.96939215 0.12810591]",5153.088367938334
26,"[0.54566897 0.03494473 0.81854216 0.76229134 0.19933436 0.6751846
 0.32509706 1.         0.61786609 0.         0.33164099 0.13132471
 0.51917999 0.93536651 0.97347093 0.09773176 0.95382145 0.25985039
 0.         0.07270973 1.         1.         0.21168796 0.57049971
 0.13601737 0.         0.         0.65189582]",5194.616793987518
27,"[0.71829287 0.         0.12776899 0.71228673 0.25277185 1.
 0.33268942 0.71612751 0.60444326 0.14845239 0.05947269 1.
 0.3022272  0.55848498 0.22344917 1.         0.07181239 0.16886871
 0.65132932 0.         0.43476354 0.78441101 0.         1.
 0.         1.         0.72207663 0.        ]",5246.59192914915
28,"[0.67216291 1.         0.5624377  0.67895739 0.65858082 0.
 0.         0.         1.         1.         0.         0.39547107
 0.39026557 1.         0.92049298 1.         1.         0.70879328
 0.62107682 0.         0.91926216 1.         0.29865678 0.63436462
 0.         0.80347889 0.         0.24343861]",5317.435554833243
29,"[1.         0.85947061 1.         0.86072728 0.         0.39765934
 0.37857583 0.37929311 0.63809995 0.77127729 0.70989039 1.
 0.55737553 1.         0.66012641 1.         1.         0.05010952
 0.         1.         0.         0.42992251 1.         0.01135992
 0.22559653 0.         0.37247271 0.98518548]",5318.569908791154
30,"[0.54477658 0.97537315 0.25175247 0.29561664 0.         1.
 0.         1.         0.32537343 0.67680807 1.         0.43972034
 0.         0.32646456 1.         0.99862897 0.70654484 1.
 0.         0.         1.         1.         1.         0.53707137
 0.68586082 1.         0.74376361 0.44140205]",5414.003970950191
31,"[1.         0.55264484 0.7118962  0.56959124 0.71931638 0.69216499
 0.10081208 0.         0.23422751 1.         0.         1.
 1.         0.90164941 0.69246043 1.         1.         0.58946511
 0.22344777 1.         0.         0.         0.50342735 0.85969772
 0.06350046 0.         0.         1.        ]",5431.610426102149
32,"[0.         0.50663981 0.07185683 0.15614961 0.02293047 0.55702781
 0.75295712 0.47011808 1.         1.         0.62608824 1.
 0.         0.77292352 0.         1.         0.16447976 0.
 0.85267669 0.6349268  0.         0.11239518 0.         0.5808532
 0.16423882 0.31970185 0.74424617 1.        ]",5438.567069795319
33,"[0.98935872 0.7507912  0.34712077 0.         0.54493006 1.
 1.         0.21506959 0.         0.27655237 0.07498815 1.
 0.08037563 0.35893508 0.47124118 0.76431327 0.69272498 0.10396934
 0.         0.47054941 0.46738012 1.         1.         0.72271206
 1.         0.92209497 0.         1.        ]",5439.430110695325
34,"[0.08502092 0.99946473 0.62238166 1.         0.         0.
 0.         0.74002373 0.         1.         0.15851862 0.
 0.30348228 1.         1.         1.         0.64869744 0.63933075
 0.         0.         0.07515779 1.         0.70029682 0.54860431
 0.35640973 1.         0.         1.        ]",5470.991762155687
35,"[0.59633872 0.67425395 0.20727504 1.         0.46923292 0.36383283
 0.87453317 0.90527083 0.97440171 0.80802975 1.         0.83786683
 1.         0.7322682  0.99437393 0.8485146  0.07181772 1.
 0.         1.         0.5158484  0.         0.06410198 0.55919783
 0.43018254 0.81365424 0.         0.3959954 ]",5530.0764758175055
36,"[0.74428886 0.74804764 0.95937427 1.         0.36145675 0.
 0.         0.35493134 0.93799358 0.06768143 0.51252204 0.
 0.22169151 1.         1.         1.         0.53485201 0.
 0.         0.96439522 0.         0.         1.         1.
 1.         1.         0.05283564 0.26138005]",5651.948402709249
37,"[1.         0.         0.19263442 0.         0.45886072 0.
 0.06991678 0.56208268 0.         0.36365167 0.         1.
 0.         0.00998301 0.66365857 1.         0.27207195 0.
 0.11527115 0.         0.         1.         0.49392564 1.
 0.59591592 0.38506379 0.93396604 1.        ]",5779.659774417648
38,"[1.         0.22035555 0.         0.55906696 0.51918501 0.38187014
 0.77811175 0.60576585 1.         1.         1.         0.
 0.554608   0.         0.         1.         0.69039349 1.
 0.88356662 0.58904679 0.08463053 0.28171069 1.         1.
 0.22922124 0.01327787 0.32056658 0.48877567]",5856.883067447693
39,"[0.         0.56315889 0.4253472  0.         0.         0.
 1.         1.         1.         0.         1.         0.74254407
 0.11292564 0.74427238 0.44814004 0.87509216 1.         0.
 0.73491036 0.05027326 0.51065726 0.         0.         1.
 1.         1.         0.         1.        ]",5876.278575849086
40,"[0.84262558 0.         1.         0.99228842 0.26169623 0.
 1.         1.         0.         0.6440381  1.         0.12980437
 1.         0.87817727 0.16252839 1.         0.6929874  0.71358628
 0.09765561 0.44330348 0.66882086 0.58058323 1.         1.
 0.44077842 0.83797057 0.         1.        ]",5877.491348296725
41,"[1.         1.         0.         0.81783037 0.22481894 0.07576758
 0.51142762 0.70906452 1.         0.88109247 1.         0.21703357
 0.         0.46232073 1.         1.         0.26322096 0.47374198
 0.         0.95993768 0.28066591 0.19838357 0.90380216 1.
 0.35886074 0.03190617 0.         0.        ]",5974.117996760335
42,"[0.71190058 0.6459357  0.433655   0.         0.         1.
 0.59000817 0.64142327 1.         1.         1.         0.78856401
 0.32732872 0.72846937 0.0930786  0.75202377 0.46273847 0.9725383
 0.         0.44554863 0.39533837 0.01183202 1.         0.89952495
 1.         0.59389556 0.42183827 1.        ]",6008.146196314664
43,"[1.         0.         0.         0.         1.         0.93681171
 0.8483375  1.         0.         1.         0.34667956 0.59133538
 0.63932005 0.42984305 0.68734734 1.         0.6501998  0.4109303
 1.         1.         0.32150435 0.         0.         0.56139795
 0.58811075 0.         0.         0.60402328]",6213.090865717294
44,"[0.         0.33686955 0.         0.         0.8030863  0.60662867
 0.91078725 0.72648076 1.         0.51165209 0.832434   0.81559617
 0.17762052 0.         0.         1.         0.50521864 0.8876401
 0.1082865  1.         0.46528966 0.80753928 0.67879631 1.
 1.         0.75622611 0.79542987 1.        ]",6264.402039616342
45,"[0.14775935 0.         0.         0.11248337 1.         0.35257119
 0.40612802 0.61903619 1.         1.         0.         0.
 0.33215608 0.9649603  0.64149048 0.97767948 0.20132927 0.
 0.67033471 0.8532093  0.         0.91421219 1.         0.85685996
 0.0972098  0.75125037 0.         0.43617173]",6324.574936794127
46,"[0.18930356 0.17062361 0.88923569 0.62123559 0.42800248 1.
 0.36800394 1.         0.67314543 0.10997571 1.         0.50455127
 1.         0.38081193 0.44381725 1.         0.         0.15054335
 0.05078624 0.11532693 0.26576499 1.         0.71720532 1.
 0.82055447 0.73944652 0.         0.        ]",6349.7071999384225
47,"[0.72341584 1.         0.10483382 1.         1.         0.14181943
 0.73981575 0.50619418 0.76732702 0.         1.         0.
 0.22818591 0.06976334 0.12293207 0.90438602 0.74369925 0.11351978
 0.08956766 0.89077781 0.51470214 0.0039571  0.26449605 0.25657717
 0.72741478 1.         0.         0.58847527]",6516.346679229122
48,"[0.8355584  0.         1.         0.75117719 0.92175966 0.0821878
 0.         0.         0.         0.09261189 1.         0.1308743
 0.77659957 1.         1.         1.         0.25775019 0.22339399
 1.         0.77104666 0.86211766 0.         0.         0.
 1.         0.00913784 0.41730936 0.        ]",6611.806709431374
49,"[0.         0.7362612  1.         1.         0.82940915 0.2454441
 0.67945774 1.         1.         0.87903385 1.         0.
 0.52898466 1.         0.         0.40269935 1.         0.32496037
 0.         0.11735782 0.06215017 1.         1.         0.
 0.73871637 1.         0.20489388 0.72433825]",7143.247618871782
50,"[1.         0.5139437  1.         0.85049108 1.         0.
 0.21800392 0.79763759 0.86655363 0.         0.92497876 0.50242239
 0.         0.         0.         1.         0.51749551 0.4736276
 0.8673719  0.98446681 0.39555302 0.80809105 0.76224817 0.
 1.         1.         0.95778985 0.        ]",7143.247619016552
51,"[0.29343026 1.         0.73061758 0.13009931 0.2774836  0.4825701
 0.55882399 0.77557619 1.         1.         0.         0.49238778
 0.73412672 0.         0.         1.         0.96743732 1.
 0.82767013 1.         0.04849806 0.         0.         0.
 0.00463706 0.69175024 0.62260895 0.        ]",7398.503872111041
52,"[0.         1.         0.         0.         0.88944435 0.87206889
 1.         0.33782591 0.         1.         0.34360876 1.
 0.         0.07771472 1.         1.         0.45437398 0.14290545
 0.78613518 0.53317139 0.93298399 0.         1.         0.99398738
 0.96178867 0.         0.         0.59138943]",7511.7971290793075
53,"[0.         0.         0.28227694 1.         0.44036119 0.
 0.63459804 0.16304847 0.17198951 0.         1.         0.38515671
 0.51103723 0.01441559 0.25835695 0.         0.         0.
 0.80957705 0.91794476 0.34114326 0.73551034 0.43959546 1.
 0.         0.81928441 0.34584832 0.        ]",8014.46279655294
54,"[0.         0.49524065 0.         0.38651115 0.         1.
 0.         0.61230623 1.         0.60322951 1.         0.68653018
 1.         1.         1.         1.         1.         0.
 0.         0.16635513 0.46029817 0.         1.         1.
 1.         0.37479429 0.         0.25239143]",8650.42226656769
55,"[1.         0.         0.         1.         0.85252821 1.
 0.         0.         0.76648933 0.         0.         0.
 0.3054463  0.40739025 1.         0.52069703 1.         0.00373746
 0.91267088 0.26819617 0.71574332 0.05230974 1.         0.09652987
 0.89444943 1.         0.11909833 0.64655244]",10284.65322749007
